"Q" "C" "Qworld" "Cworld" "sigma" "N" "score" "pvalue"
"KM" 0.0123863644527812 0.00897395115313428 0.0139576700819131 0.0095312168092173 0.038650407563123 280 -0.241261051565105 0.80935279570806
"KU" 0 0 9.1407385378519e-06 9.00589780694986e-06 0 280 -Inf 0
"KV" 0 0 7.50491140743805e-06 7.34781550212014e-06 0 280 -Inf 0
"KY" 0 0 3.87757528354718e-06 3.85499612042514e-06 0 280 -Inf 0
"LE" 0 0 3.28319633544291e-05 3.24377072834255e-05 0 280 -Inf 0
"LI" 0.00427114119461938 0.0022446108939278 0.00531574608524175 0.00273092217344776 0.00904053646709641 280 -0.900117397917364 0.368057778285721
"LJ" 0.000980888667971957 0.000718943313702729 0.00164256527428425 0.00119641266627901 0.00399629523544216 280 -1.9992492929591 0.0455813875710284
"LQ" 3.56637766709709e-05 3.10838713776647e-05 0.000363198745625917 0.000311329968005461 0.000451026371450487 280 -10.3972060829451 2.55309389195531e-25
"MA" 0.0041418278130043 0.00326857096587488 0.00593670028990882 0.00449935475973783 0.0140298991253138 280 -1.46793300854621 0.142122420891881
"MC" 0.0015538389693471 0.00107051760460427 0.000864148137604241 0.000572700703791174 0.00548993128430437 280 1.5173359369148 0.12918188935919
"ML" 0 0 8.02593340739016e-06 6.48427946807781e-06 0 280 -Inf 0
"MM" 0 0 6.57381958141777e-06 6.49881798333781e-06 0 280 -Inf 0
"MQ" 2.4975024975025e-05 2.11894578656727e-05 0.000103411475006537 8.73203595472342e-05 0.000354575094771097 280 -3.12086679361033 0.00180319580083125
"MR" 0 0 1.84727722291754e-05 1.78623798181764e-05 0 280 -Inf 0
"MU" 0 0 5.72072892760668e-06 5.22783752377593e-06 0 280 -Inf 0
"MW" 0.0004565661420161 0.00041952533203764 2.59739431578407e-05 2.41956915253913e-05 0.00582583649140314 280 1.13548160168506 0.256173586352941
"MY" 0.0027155158887067 0.00198062386057388 0.00327198249612285 0.00240069409618496 0.0128640552797369 280 -0.54641552267914 0.584780342307365
"NE" 0.00137710433028547 0.00115783492704568 0.00346007721183814 0.00284791215799607 0.0106760605544565 280 -2.64895474070974 0.00807411436898534
"NI" 0.00201899006881107 0.00166870402604488 0.00870059929431603 0.00689029172303535 0.0117513258397041 280 -7.4352354120819 1.04381900756503e-13
"NM" 0 0 3.36711501749196e-06 3.3022962880088e-06 0 280 -Inf 0
"NN" 0.000221535982814178 0.000197573494957921 0.000984351171957393 0.000851086866654593 0.00193546842822039 280 -5.64998640052063 1.60460530947088e-08
"NQ" 0.000212251188616061 0.000193256918518292 0.000438004582802446 0.00040175552216137 0.00176161449846591 280 -1.98048378244215 0.0476491938774582
"NS" 0 0 0.000156276367289233 0.000149100332242497 0 280 -Inf 0
"NU" 3.53606789250354e-05 3.42408710165106e-05 0.000101257343244974 9.82742491203983e-05 0.000572932027176762 280 -1.87017535352187 0.0614594710996321
"OA" 0.000168817527010804 0.000158928450199702 0.000127335070423898 0.000120724857861879 0.00193131215795828 280 0.331002095620327 0.740642902622284
"OE" 0 0 4.38523109246035e-06 4.34100658792607e-06 0 280 -Inf 0
"OI" 0 0 0.000464547460581048 0.000304475282089782 0 280 -Inf 0
"OM" 0 0 6.87906984674301e-05 6.58505541502102e-05 0 280 -Inf 0
"OO" 0 0 4.22270430169772e-05 3.43208325358324e-05 0 280 -Inf 0
"OP" 0 0 0.000151900582555966 0.000117544804355567 0 280 -Inf 0
"OR" 0 0 2.09761169276166e-06 2.05444623063058e-06 0 280 -Inf 0
"OT" 0.0043086270329763 0.00329112917040892 0.00152311677253454 0.00119742704086088 0.0131979219403194 280 2.65453438379666 0.00794179453848248
"OU" 0 0 8.68064873788e-06 8.41905806581822e-06 0 280 -Inf 0
"OX" 0 0 7.47935272627758e-07 6.98026530573804e-07 0 280 -Inf 0
"OY" 0.000579662440011068 0.000535107313800761 9.02972854982692e-05 8.43189384764205e-05 0.00790388534508445 280 0.954357502907542 0.339902709959483
"OZ" 0 0 6.33200186172171e-06 5.3639942983353e-06 0 280 -Inf 0
"PA" 0 0 2.39834473337226e-06 2.31239480738618e-06 0 280 -Inf 0
"PC" 0 0 6.43758704558413e-05 6.3592235405582e-05 0 280 -Inf 0
"PD" 0 0 5.13898129862106e-07 5.12141310263164e-07 0 280 -Inf 0
"PE" 0 0 7.20128997837894e-05 7.06521495417372e-05 0 280 -Inf 0
"PF" 0 0 2.03692597936195e-07 2.03398432085208e-07 0 280 -Inf 0
"PG" 0 0 9.88327848113776e-08 9.8325174221889e-08 0 280 -Inf 0
"PH" 0 0 7.14453866106344e-08 7.08126074472802e-08 0 280 -Inf 0
"PI" 0 0 0.000200090594497895 0.0001864003815985 0 280 -Inf 0
"PJ" 0 0 4.09993261154996e-06 3.86882309466587e-06 0 280 -Inf 0
"PK" 0 0 1.10927801271484e-05 1.0922826432375e-05 0 280 -Inf 0
"PM" 0 0 0.000195123178654971 0.00018929063404014 0 280 -Inf 0
"PN" 0.000475462422206184 0.000464168298689907 0.000440299136469872 0.000432085640904375 0.00357582678132992 280 0.150131865750742 0.88066057966248
"PO" 0.000882079197540817 0.000835054682464509 0.000650590340604207 0.000618920145430136 0.00706748684259653 280 0.511726817516572 0.608842214648614
"PQ" 0 0 6.24945167785144e-05 6.21896713327651e-05 0 280 -Inf 0
"PS" 0 0 0.000116215844017614 0.000112773088333168 0 280 -Inf 0
"PT" 0.000833560954763494 0.000676802804361625 0.000523534296038783 0.000425443244954732 0.00400863135660585 280 1.04924836900458 0.294063822204887
"PU" 0.000119047619047619 0.000116386464029644 8.46469345008497e-05 8.31804082264173e-05 0.00194594887976909 280 0.285538636890769 0.775231507918992
"PW" 0.00102420786044396 0.000715601359764879 0.00085604643707309 0.000564737854843403 0.00509507856936787 280 0.49546424971533 0.620272451559315
"PY" 0.00716374522021232 0.00502886878458001 0.0114750039627319 0.00779666454214054 0.011959029201397 280 -3.87272918723365 0.000107623391663393
"PZ" 0 0 2.36329775311352e-05 2.33835602157968e-05 0 280 -Inf 0
"QA" 0.00458548828433244 0.00283333424626151 0.00875201133718875 0.00501504660886046 0.00817477776083198 280 -4.46581320394448 7.97651844690281e-06
"QC" 0 0 5.81466217306938e-07 5.6688099505877e-07 0 280 -Inf 0
"QD" 0 0 3.90129413729122e-08 3.85720285055637e-08 0 280 -Inf 0
"QE" 5.95238095238095e-05 5.03058680071433e-05 0.000286700682597331 0.000240540585719676 0.000841663715499506 280 -3.78207545455637 0.000155526200155149
"QF" 0 0 3.13668156391301e-06 3.07423828424972e-06 0 280 -Inf 0
