"Q" "C" "Qworld" "Cworld" "sigma" "N" "score" "pvalue"
"HB" 1.46869141959356e-05 1.36707417786887e-05 6.33314583073762e-05 5.86255001288571e-05 0.000337061231078099 993 -4.20282676267126 2.63602326958676e-05
"HE" 0.000274230714304136 0.000212732007897525 0.000239685659582766 0.000190037998241541 0.00281170912815436 993 0.254340469557002 0.79923253730289
"HF" 9.7907575248965e-05 8.7247521308233e-05 6.3762427225686e-05 5.70355659190616e-05 0.00196228520556053 993 0.485167084916225 0.627557828350476
"HI" 0.000577664411516883 0.000493282475018727 0.000352808166372278 0.000308832483337087 0.00603095909354058 993 0.9637555264889 0.335168508515232
"HL" 0.0010454207935731 0.000889804489176307 0.000808919508253048 0.00067811578235564 0.00930276893051052 993 0.71706756797918 0.473332406124885
"HQ" 0 0 7.68568944026235e-05 7.4047426325183e-05 0 993 -Inf 0
"HT" 0.000313737093053723 0.000265046199199356 0.000441736429184305 0.000367521715165227 0.0032260725883217 993 -1.00096894310243 0.316841823308245
"HY" 0.0072311149830593 0.00476017629982976 0.00669965742043091 0.00433489143061132 0.0186522078796419 993 0.718495924215397 0.472451560075328
"IA" 0.00786569996454708 0.00516353661706635 0.0172091738253798 0.0110349385073841 0.0275535506388192 993 -6.71488935885861 1.88208972358741e-11
"ID" 0 0 1.42591479815644e-05 1.39102911024509e-05 0 993 -Inf 0
"IF" 5.09685708748783e-05 4.89616115435486e-05 5.94872608969498e-05 5.71726428368316e-05 0.00115977315763734 993 -0.223099850123875 0.823457794998544
"IG" 0.00376406259381543 0.00277720915995289 0.00431139232899385 0.00316189881627115 0.013180047212933 993 -0.919746549605201 0.357705220902473
"IH" 2.50532727874118e-05 2.43720391637016e-05 4.97817718785762e-05 4.81417605640215e-05 0.000546405811428906 993 -1.37082938699623 0.170428147767563
"II" 1.39867964641379e-05 1.35747323701841e-05 4.66793578374729e-05 4.50268413648179e-05 0.000427746859842553 993 -2.31706152755288 0.0205003803675803
"IJ" 0.000350294158424608 0.000337323117454834 0.000147632015691106 0.000142828781087438 0.00436325759971815 993 1.40465842937406 0.160122872889878
"IK" 0 0 2.26332993712472e-05 2.22138173192196e-05 0 993 -Inf 0
"IL" 0 0 3.62052417440366e-07 3.55749243453013e-07 0 993 -Inf 0
"IM" 0 0 2.71492819811744e-05 2.65373369789733e-05 0 993 -Inf 0
"IO" 0 0 3.29926290991694e-06 3.2686556591089e-06 0 993 -Inf 0
"IP" 0 0 2.78426248819642e-06 2.75160212127558e-06 0 993 -Inf 0
"IQ" 0.00142324119238142 0.00137454260727583 0.00166390498069327 0.00161233677254419 0.00883141076455472 993 -0.848488056315306 0.396166221288549
"IU" 1.41837935974356e-05 1.39311248364814e-05 6.39637281270176e-05 6.28688282538579e-05 0.000438975118447182 993 -3.51300124882297 0.000443075394296205
"IX" 0 0 2.52767009699097e-06 2.51737336786803e-06 0 993 -Inf 0
"IY" 0.000117603268229077 0.000102384382293845 0.000303417753604683 0.0002617266710183 0.00287386083899413 993 -1.74718921681297 0.0806045215789867
"JA" 0.000187834357797239 0.00017888461488294 0.000766885431546541 0.000725036136045474 0.00203497213284268 993 -8.45725266431834 2.73750357827965e-17
"JB" 3.35683115139308e-05 3.28987189628943e-05 1.86353953326874e-05 1.82499748254697e-05 0.00103667188665025 993 0.445280520426363 0.656117043339376
"JI" 0.000557822138295991 0.000479577749049223 0.000253162462958562 0.000221381210004886 0.00469092996361839 993 1.73446720175055 0.0828352203248125
"JM" 0 0 2.84534852856102e-06 2.59893673171874e-06 0 993 -Inf 0
"JO" 5.03839572441739e-05 4.46880182721646e-05 9.93825084801637e-05 8.87418746944794e-05 0.000995115755729464 993 -1.39503451826252 0.163005430669212
"JS" 0 0 5.24775502777522e-06 4.97114044002065e-06 0 993 -Inf 0
"JU" 3.87326671314587e-05 3.62579372264723e-05 7.95271694507989e-05 7.39292339326666e-05 0.00114246319029287 993 -1.0390656254284 0.298774216416258
"JW" 0 0 5.9898657461441e-08 5.7984659631158e-08 0 993 -Inf 0
"JY" 0.000595566338935004 0.000535812662111961 0.00094264714810083 0.000835300710328195 0.00898740389350634 993 -1.05007389131255 0.293684141483471
"KA" 0 0 5.30703708112536e-06 5.09794916374691e-06 0 993 -Inf 0
"KI" 0.0015181716378348 0.00131346296823997 0.00371015500302227 0.00313594211814622 0.0152345148905937 993 -3.76971539406242 0.000163433809723252
"KM" 0.0140842905130983 0.00997061682666089 0.0139576700819131 0.0095312168092173 0.035797893881795 993 0.386791763775034 0.698910375127796
"KU" 0 0 9.1407385378519e-06 9.00589780694986e-06 0 993 -Inf 0
"KV" 0 0 7.50491140743805e-06 7.34781550212014e-06 0 993 -Inf 0
"KY" 0 0 3.87757528354718e-06 3.85499612042514e-06 0 993 -Inf 0
"LE" 0 0 3.28319633544291e-05 3.24377072834255e-05 0 993 -Inf 0
"LI" 0.00341487112736009 0.00171717152675057 0.00531574608524175 0.00273092217344776 0.0076997456255647 993 -4.14886583335014 3.34126555469678e-05
"LJ" 0.00161103827795653 0.00115895942412579 0.00164256527428425 0.00119641266627901 0.00830269308439989 993 -0.14214940905767 0.886961991607127
"LQ" 0.000762271484580931 0.00066111802987921 0.000363198745625917 0.000311329968005461 0.0084851606556046 993 1.29903106769797 0.193933267487555
"MA" 0.00208088915233536 0.00164441893286627 0.00593670028990882 0.00449935475973783 0.00756321804270993 993 -11.8949974666497 1.25656834202746e-32
"MC" 0.00161454191141901 0.0010907216022328 0.000864148137604241 0.000572700703791174 0.0063018470076446 993 2.59032376249044 0.0095885704405179
"ML" 0 0 8.02593340739016e-06 6.48427946807781e-06 0 993 -Inf 0
"MM" 0 0 6.57381958141777e-06 6.49881798333781e-06 0 993 -Inf 0
